CATEGORY,TYPE,NAME,REVISION,DESCRIPTION,NOTES,DESIGNATOR [str],VALUE [str],SYMBOL [str],FOOTPRINT [str],PACKAGE [str],HEIGHT [mm],VZENER [V],minVBR@IT [V],IT [A],VZTOL [%],VZDRIFT [mV/K],VFMAX [V],IFMAX [A],RTHJA [K/W],RTHJC [K/W],TJMIN [°C],TJMAX [°C],PMAX [W],SOLDER_TECHNOLOGY [str],IEC61709 [int],OTHERPROPERTIES [str],CREATED [str],VERIFIED [str],KICAD_VISIBILITY [str],MANUFACTURER,MPN,DATASHEET_LINK,DATASHEET_REVISION,SUBSTANCES,SUPPLIER1_NAME,SUPPLIER1_SKU,SUPPLIER1_STATUS,RELATEDPARTS
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_51V_LittelfuseInc_SMF51A,0,TVS 51 V SOD-123FL 56.7 V 1 A,,D,SMF51A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,51 V,56.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF51A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5833CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_51V_EatonElectronicsDivision_SMF51A,0,TVS 51 V SOD-123FL 56.7 V 1 A,,D,SMF51A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,51 V,56.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF51A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF51ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 51 V SOD-123FL 56.7 V 1 A,,D,SMF51A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,51 V,56.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_54V_generic,0,generic TVS 54 V SOD-123FL 60 V 1 A,,D,SMF54A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,54 V,60 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_54V_LittelfuseInc_SMF54A,0,TVS 54 V SOD-123FL 60 V 1 A,,D,SMF54A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,54 V,60 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF54A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5834CT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_54V_EatonElectronicsDivision_SMF54A,0,TVS 54 V SOD-123FL 60 V 1 A,,D,SMF54A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,54 V,60 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF54A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF54ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 54 V SOD-123FL 60 V 1 A,,D,SMF54A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,54 V,60 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_58V_generic,0,generic TVS 58 V SOD-123FL 64.4 V 1 A,,D,SMF58A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,58 V,64.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_58V_LittelfuseInc_SMF58A,0,TVS 58 V SOD-123FL 64.4 V 1 A,,D,SMF58A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,58 V,64.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF58A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,SMF58ACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_58V_EatonElectronicsDivision_SMF58A,0,TVS 58 V SOD-123FL 64.4 V 1 A,,D,SMF58A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,58 V,64.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF58A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF58ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 58 V SOD-123FL 64.4 V 1 A,,D,SMF58A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,58 V,64.4 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_60V_generic,0,generic TVS 60 V SOD-123FL 66.7 V 1 A,,D,SMF60A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,60 V,66.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_60V_LittelfuseInc_SMF60A,0,TVS 60 V SOD-123FL 66.7 V 1 A,,D,SMF60A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,60 V,66.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF60A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF60ACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_60V_EatonElectronicsDivision_SMF60A,0,TVS 60 V SOD-123FL 66.7 V 1 A,,D,SMF60A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,60 V,66.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF60A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF60ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 60 V SOD-123FL 66.7 V 1 A,,D,SMF60A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,60 V,66.7 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_64V_generic,0,generic TVS 64 V SOD-123FL 71.1 V 1 A,,D,SMF64A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,64 V,71.1 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_64V_LittelfuseInc_SMF64A,0,TVS 64 V SOD-123FL 71.1 V 1 A,,D,SMF64A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,64 V,71.1 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF64A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,SMF64ACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_64V_EatonElectronicsDivision_SMF64A,0,TVS 64 V SOD-123FL 71.1 V 1 A,,D,SMF64A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,64 V,71.1 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF64A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF64ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 64 V SOD-123FL 71.1 V 1 A,,D,SMF64A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,64 V,71.1 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_70V_generic,0,generic TVS 70 V SOD-123FL 77.8 V 1 A,,D,SMF70A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,70 V,77.8 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_70V_LittelfuseInc_SMF70A,0,TVS 70 V SOD-123FL 77.8 V 1 A,,D,SMF70A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,70 V,77.8 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF70A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF70ACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_70V_EatonElectronicsDivision_SMF70A,0,TVS 70 V SOD-123FL 77.8 V 1 A,,D,SMF70A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,70 V,77.8 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF70A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF70ATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 70 V SOD-123FL 77.8 V 1 A,,D,SMF70A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,70 V,77.8 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_5V_generic,0,generic TVS 5 V SOD-123FL 6.4 V 0.01 A,,D,SMF5.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_5V_LittelfuseInc_SMF50CA,0,TVS 5 V SOD-123FL 6.4 V 0.01 A,,D,SMF5.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF5.0CA,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF5.0CACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_5V_EatonElectronicsDivision_SMF50CA,0,TVS 5 V SOD-123FL 6.4 V 0.01 A,,D,SMF5.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF5-0CA,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF5-0CATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 5 V SOD-123FL 6.4 V 0.01 A,,D,SMF5.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_6V_generic,0,generic TVS 6 V SOD-123FL 6.67 V 0.01 A,,D,SMF6.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_6V_LittelfuseInc_SMF60CA,0,TVS 6 V SOD-123FL 6.67 V 0.01 A,,D,SMF6.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF6.0CA,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF6.0CACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_6V_EatonElectronicsDivision_SMF60CA,0,TVS 6 V SOD-123FL 6.67 V 0.01 A,,D,SMF6.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF6-0CA,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF6-0CATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 6 V SOD-123FL 6.67 V 0.01 A,,D,SMF6.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_6.5V_generic,0,generic TVS 6.5 V SOD-123FL 7.22 V 0.01 A,,D,SMF6.5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6.5 V,7.22 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_6.5V_LittelfuseInc_SMF65CA,0,TVS 6.5 V SOD-123FL 7.22 V 0.01 A,,D,SMF6.5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6.5 V,7.22 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF6.5CA,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF6.5CACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_6.5V_EatonElectronicsDivision_SMF65CA,0,TVS 6.5 V SOD-123FL 7.22 V 0.01 A,,D,SMF6.5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6.5 V,7.22 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF6-5CA,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF6-5CATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 6.5 V SOD-123FL 7.22 V 0.01 A,,D,SMF6.5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6.5 V,7.22 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_7V_generic,0,generic TVS 7 V SOD-123FL 7.78 V 0.01 A,,D,SMF7.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7 V,7.78 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_7V_LittelfuseInc_SMF70CA,0,TVS 7 V SOD-123FL 7.78 V 0.01 A,,D,SMF7.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7 V,7.78 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF7.0CA,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF7.0CACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_7V_EatonElectronicsDivision_SMF70CA,0,TVS 7 V SOD-123FL 7.78 V 0.01 A,,D,SMF7.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7 V,7.78 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF7-0CA,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF7-0CATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 7 V SOD-123FL 7.78 V 0.01 A,,D,SMF7.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7 V,7.78 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_7.5V_generic,0,generic TVS 7.5 V SOD-123FL 8.33 V 1 A,,D,SMF7.5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7.5 V,8.33 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_7.5V_LittelfuseInc_SMF75CA,0,TVS 7.5 V SOD-123FL 8.33 V 1 A,,D,SMF7.5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7.5 V,8.33 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF7.5CA,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF7.5CACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_7.5V_EatonElectronicsDivision_SMF75CA,0,TVS 7.5 V SOD-123FL 8.33 V 1 A,,D,SMF7.5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7.5 V,8.33 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF7-5CA,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF7-5CATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 7.5 V SOD-123FL 8.33 V 1 A,,D,SMF7.5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7.5 V,8.33 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_8V_generic,0,generic TVS 8 V SOD-123FL 8.89 V 1 A,,D,SMF8.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8 V,8.89 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_8V_LittelfuseInc_SMF80CA,0,TVS 8 V SOD-123FL 8.89 V 1 A,,D,SMF8.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8 V,8.89 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF8.0CA,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF8.0CACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_8V_EatonElectronicsDivision_SMF80CA,0,TVS 8 V SOD-123FL 8.89 V 1 A,,D,SMF8.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8 V,8.89 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF8-0CA,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF8-0CATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 8 V SOD-123FL 8.89 V 1 A,,D,SMF8.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8 V,8.89 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_8.5V_generic,0,generic TVS 8.5 V SOD-123FL 9.44 V 1 A,,D,SMF8.5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8.5 V,9.44 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_8.5V_LittelfuseInc_SMF85CA,0,TVS 8.5 V SOD-123FL 9.44 V 1 A,,D,SMF8.5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8.5 V,9.44 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF8.5CA,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF8.5CACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_8.5V_EatonElectronicsDivision_SMF85CA,0,TVS 8.5 V SOD-123FL 9.44 V 1 A,,D,SMF8.5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8.5 V,9.44 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF8-5CA,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF8-5CATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 8.5 V SOD-123FL 9.44 V 1 A,,D,SMF8.5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,8.5 V,9.44 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_9V_generic,0,generic TVS 9 V SOD-123FL 10 V 1 A,,D,SMF9.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,9 V,10 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_9V_LittelfuseInc_SMF90CA,0,TVS 9 V SOD-123FL 10 V 1 A,,D,SMF9.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,9 V,10 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF9.0CA,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF9.0CACT-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,D_TVS_SOD-123FL_9V_EatonElectronicsDivision_SMF90CA,0,TVS 9 V SOD-123FL 10 V 1 A,,D,SMF9.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,9 V,10 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF9-0CA,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF9-0CATR-ND,,
Active Component / Diode / Zener ( P > 1W ),specific,,0,TVS 9 V SOD-123FL 10 V 1 A,,D,SMF9.0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,9 V,10 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / Zener ( P > 1W ),generic,D_TVS_SOD-123FL_10V_generic,0,generic TVS 10 V SOD-123FL 11.1 V 1 A,,D,SMF10CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,10 V,11.1 V,1 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
