CATEGORY,TYPE,NAME,REVISION,DESCRIPTION,NOTES,DESIGNATOR [str],VALUE [str],SYMBOL [str],FOOTPRINT [str],PACKAGE [str],HEIGHT [mm],RESISTANCE [Ω],TOLERANCE [%],DRIFT [ppm/K],TCORNER [°C],TMIN [°C],TMAX [°C],VMAX [V],IMAX [A],PMAX [W],SOLDER_TECHNOLOGY [str],IEC61709 [int],OTHERPROPERTIES [str],CREATED [str],VERIFIED [str],KICAD_VISIBILITY [str],MANUFACTURER,MPN,DATASHEET_LINK,DATASHEET_REVISION,SUBSTANCES,SUPPLIER1_NAME,SUPPLIER1_SKP,SUPPLIER1_STATUS,
Passive Component / Resistor / Metal thickfilm,specific,R_2512_1M0_F_100ppmK_VishayDale_CRCW25121M00FKEG,0,Resistor 2512 (6432 Metric) 1 MΩ 1 % 100 ppm/K,,R,1 MΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,1 MΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW25121M00FKEG,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,541-1.0MAFCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_2512_1M0_F_100ppmK_StackpoleElectronicsInc_RMCF2512FT1M00,0,Resistor 2512 (6432 Metric) 1 MΩ 1 % 100 ppm/K,,R,1 MΩ,Device:R,Resistor_SMD:R_2512_6432Metric,2512,0.75 mm,1 MΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,200 V,-,1 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF2512FT1M00,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF2512FT1M00CT-ND,ACTIVE,
Passive Component / Resistor / Metal thinfilm,generic,R_0402_10R0_B_25ppmK_generic,0,generic Resistor 0402 (1005 Metric) 10 Ω 0.1 % 25 ppm/K,,R,10 Ω,Device:R,Resistor_SMD:R_0402_1005Metric,0402,,10 Ω,0.1 %,25 ppm/K,70 °C,-55 °C,155 °C,25 V,-,0.063 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_0402_10R0_B_25ppmK_StackpoleElectronicsInc_RNCF0402BTE10R0, R_0402_10R0_B_25ppmK_Yageo_RT0402BRD0710RL, R_0402_10R0_B_25ppmK_TEConnectivity_CPF0402B10RE1"
Passive Component / Resistor / Metal thinfilm,specific,R_0402_10R0_B_25ppmK_StackpoleElectronicsInc_RNCF0402BTE10R0,0,Resistor 0402 (1005 Metric) 10 Ω 0.1 % 25 ppm/K,,R,10 Ω,Device:R,Resistor_SMD:R_0402_1005Metric,0402,,10 Ω,0.1 %,25 ppm/K,70 °C,-55 °C,155 °C,25 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RNCF0402BTE10R0,https://www.seielect.com/catalog/sei-rncf.pdf,2025-04-08,RoHS3 2015/863,DIGIKEY,RNCF0402BTE10R0-ND,ACTIVE,
Passive Component / Resistor / Metal thinfilm,specific,R_0402_10R0_B_25ppmK_Yageo_RT0402BRD0710RL,0,Resistor 0402 (1005 Metric) 10 Ω 0.1 % 25 ppm/K,,R,10 Ω,Device:R,Resistor_SMD:R_0402_1005Metric,0402,,10 Ω,0.1 %,25 ppm/K,70 °C,-55 °C,155 °C,25 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Yageo,RT0402BRD0710RL,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf,2025-05-06 Version 16,RoHS3 2015/863,DIGIKEY,YAG3340CT-ND,ACTIVE,
Passive Component / Resistor / Metal thinfilm,specific,R_0402_10R0_B_25ppmK_TEConnectivity_CPF0402B10RE1,0,Resistor 0402 (1005 Metric) 10 Ω 0.1 % 25 ppm/K,,R,10 Ω,Device:R,Resistor_SMD:R_0402_1005Metric,0402,,10 Ω,0.1 %,25 ppm/K,70 °C,-55 °C,155 °C,25 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,TE Connectivity,CPF0402B10RE1,https://www.te.com/usa-en/product-1879208-1.datasheet.pdf,2025-02-10,RoHS3 2015/863,DIGIKEY,A102583CT-ND,ACTIVE,
Passive Component / Resistor / Metal thinfilm,generic,R_0402_11R0_B_25ppmK_generic,0,generic Resistor 0402 (1005 Metric) 11 Ω 0.1 % 25 ppm/K,,R,11 Ω,Device:R,Resistor_SMD:R_0402_1005Metric,0402,,11 Ω,0.1 %,25 ppm/K,70 °C,-55 °C,155 °C,25 V,-,0.063 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_0402_11R0_B_25ppmK_StackpoleElectronicsInc_RNCF0402BTE11R0, R_0402_11R0_B_25ppmK_Yageo_RT0402BRD0711RL, R_0402_11R0_B_25ppmK_TEConnectivity_CPF0402B11RE1"
Passive Component / Resistor / Metal thinfilm,specific,R_0402_11R0_B_25ppmK_StackpoleElectronicsInc_RNCF0402BTE11R0,0,Resistor 0402 (1005 Metric) 11 Ω 0.1 % 25 ppm/K,,R,11 Ω,Device:R,Resistor_SMD:R_0402_1005Metric,0402,,11 Ω,0.1 %,25 ppm/K,70 °C,-55 °C,155 °C,25 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RNCF0402BTE11R0,https://www.seielect.com/catalog/sei-rncf.pdf,2025-04-08,RoHS3 2015/863,DIGIKEY,RNCF0402BTE11R0-ND,ACTIVE,
Passive Component / Resistor / Metal thinfilm,specific,R_0402_11R0_B_25ppmK_Yageo_RT0402BRD0711RL,0,Resistor 0402 (1005 Metric) 11 Ω 0.1 % 25 ppm/K,,R,11 Ω,Device:R,Resistor_SMD:R_0402_1005Metric,0402,,11 Ω,0.1 %,25 ppm/K,70 °C,-55 °C,155 °C,25 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Yageo,RT0402BRD0711RL,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf,2025-05-06 Version 16,RoHS3 2015/863,DIGIKEY,RT0402BRD0711RL-ND,ACTIVE,
Passive Component / Resistor / Metal thinfilm,specific,R_0402_11R0_B_25ppmK_TEConnectivity_CPF0402B11RE1,0,Resistor 0402 (1005 Metric) 11 Ω 0.1 % 25 ppm/K,,R,11 Ω,Device:R,Resistor_SMD:R_0402_1005Metric,0402,,11 Ω,0.1 %,25 ppm/K,70 °C,-55 °C,155 °C,25 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,TE Connectivity,CPF0402B11RE1,https://www.te.com/usa-en/product-1879208-2.datasheet.pdf,2025-02-10,RoHS3 2015/863,DIGIKEY,A102595CT-ND,ACTIVE,
Passive Component / Resistor / Metal thinfilm,generic,R_0402_12R0_B_25ppmK_generic,0,generic Resistor 0402 (1005 Metric) 12 Ω 0.1 % 25 ppm/K,,R,12 Ω,Device:R,Resistor_SMD:R_0402_1005Metric,0402,,12 Ω,0.1 %,25 ppm/K,70 °C,-55 °C,155 °C,25 V,-,0.063 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_0402_12R0_B_25ppmK_StackpoleElectronicsInc_RNCF0402BTE12R0, R_0402_12R0_B_25ppmK_Yageo_RT0402BRD0712RL, R_0402_12R0_B_25ppmK_TEConnectivity_CPF0402B12RE1"
Passive Component / Resistor / Metal thinfilm,specific,R_0402_12R0_B_25ppmK_StackpoleElectronicsInc_RNCF0402BTE12R0,0,Resistor 0402 (1005 Metric) 12 Ω 0.1 % 25 ppm/K,,R,12 Ω,Device:R,Resistor_SMD:R_0402_1005Metric,0402,,12 Ω,0.1 %,25 ppm/K,70 °C,-55 °C,155 °C,25 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RNCF0402BTE12R0,https://www.seielect.com/catalog/sei-rncf.pdf,2025-04-08,RoHS3 2015/863,DIGIKEY,RNCF0402BTE12R0-ND,ACTIVE,
